Station Name,City,State,Latitude,Longitude,Operator,Usage Type,Connector Type,Power (kW)
Nandanam EVCS - GO EC,Kodungoor,Kerala,9.567074729,76.70609404,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Clay Art Cafe - GO EC,Ponkunnam,Kerala,9.566378512,76.74160751,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Clay Art Cafe - GO EC,Ponkunnam,Kerala,9.566378512,76.74160751,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
GO Green EVCS - GO EC,Anthikkad,Kerala,9.753999722,76.70127896,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Nila's Magestic Arcade,Kidangoor,Kerala,9.683248151,76.60975357,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Ettumanur Skylight EVCS - GO EC,Ettumanoor,Kerala,9.668171829,76.57537882,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Ettumanur Skylight EVCS - GO EC,Ettumanoor,Kerala,9.668171829,76.57537882,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Chaithanya Hospital EVCS - GO EC,Kuravilangad,Kerala,9.761923841,76.56472253,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Chaithanya Hospital EVCS - GO EC,Kuravilangad,Kerala,9.761923841,76.56472253,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Manjoor Beeza Clubhouse EVCS - GO EC,Manjoor,Kerala,9.727579426,76.52038777,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Kalladanthiyil EVCS - GO EC,Neendoor,Kerala,9.68333688,76.50559381,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Kalladanthiyil EVCS - GO EC,Neendoor,Kerala,9.68333688,76.50559381,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
The Grand Ambassador EVCS,Kottayam ,Kerala,9.589399336,76.52633053,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Hotel Athira Residency EVCS - GO EC,Kottayam,Kerala,9.578258768,76.51947056,GO EC (IN),Public - Membership Required,CCS (Type 2),80
Cassia Regency EVCS - GO EC,Alappuzha,Kerala,9.490169817,76.32073716,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Cassia Regency EVCS - GO EC,Alappuzha,Kerala,9.490169817,76.32073716,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Neo Charge EVCS - GO EC,Alappuzha,Kerala,9.559497169,76.32821359,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Jason Orchard Inn EVCS - GO EC,Alappuzha,Kerala,9.562575062,76.32758403,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Huts Restaurant EVCS - GO EC,Cherthala,Kerala,9.683890802,76.33358219,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Huts Restaurant EVCS - GO EC,Cherthala,Kerala,9.683890802,76.33358219,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Vijaya EVCS - GO EC,Kanjiramattom,Kerala,9.851840438,76.38938787,GO EC (IN),Public - Membership Required,CCS (Type 2),30
MPA Tyres EVCS - GO EC,Thrippunithura,Kerala,9.962610268,76.35800116,GO EC (IN),Public - Membership Required,CCS (Type 2),30
Central Talkies EVCS - GO EC,Thrippunithura,Kerala,9.948953178,76.34771092,GO EC (IN),Public - Membership Required,CCS (Type 2),60
Central Talkies EVCS - GO EC,Thrippunithura,Kerala,9.948953178,76.34771092,GO EC (IN),Public - Membership Required,CCS (Type 2),25
Central Talkies EVCS - GO EC,Thrippunithura,Kerala,9.948953178,76.34771092,GO EC (IN),Public - Membership Required,CEE 3 Pin,3.3
Tribute Royale EVCS - GO EC,Maradu,Kerala,9.94775836,76.31854611,GO EC (IN),Public - Membership Required,CCS (Type 2),60
